device_type, software_version, UID, batch, weekday, timestamp_iso8601, decimal_hour, bandwidth_FWHM_nm, field_of_view_FWHM_DEG, irradiance_410nm_violet_wavelength_nm, irradiance_410nm_violet_wavelength_uncertainty_nm, irradiance_410nm_violet_irradiance_uW_per_cm_squared, irradiance_410nm_violet_irradiance_uncertainty_uW_per_cm_squared, irradiance_435nm_blue_wavelength_nm, irradiance_435nm_blue_wavelength_uncertainty_nm, irradiance_435nm_blue_irradiance_uW_per_cm_squared, irradiance_435nm_blue_irradiance_uncertainty_uW_per_cm_squared, irradiance_450nm_blue_wavelength_nm, irradiance_450nm_blue_wavelength_uncertainty_nm, irradiance_450nm_blue_irradiance_uW_per_cm_squared, irradiance_450nm_blue_irradiance_uncertainty_uW_per_cm_squared, irradiance_485nm_cyan_wavelength_nm, irradiance_485nm_cyan_wavelength_uncertainty_nm, irradiance_485nm_cyan_irradiance_uW_per_cm_squared, irradiance_485nm_cyan_irradiance_uncertainty_uW_per_cm_squared, irradiance_510nm_green_wavelength_nm, irradiance_510nm_green_wavelength_uncertainty_nm, irradiance_510nm_green_irradiance_uW_per_cm_squared, irradiance_510nm_green_irradiance_uncertainty_uW_per_cm_squared, irradiance_535nm_green_wavelength_nm, irradiance_535nm_green_wavelength_uncertainty_nm, irradiance_535nm_green_irradiance_uW_per_cm_squared, irradiance_535nm_green_irradiance_uncertainty_uW_per_cm_squared, irradiance_560nm_lime_green_wavelength_nm, irradiance_560nm_lime_green_wavelength_uncertainty_nm, irradiance_560nm_lime_green_irradiance_uW_per_cm_squared, irradiance_560nm_lime_green_irradiance_uncertainty_uW_per_cm_squared, irradiance_585nm_yellow_wavelength_nm, irradiance_585nm_yellow_wavelength_uncertainty_nm, irradiance_585nm_yellow_irradiance_uW_per_cm_squared, irradiance_585nm_yellow_irradiance_uncertainty_uW_per_cm_squared, irradiance_610nm_orange_wavelength_nm, irradiance_610nm_orange_wavelength_uncertainty_nm, irradiance_610nm_orange_irradiance_uW_per_cm_squared, irradiance_610nm_orange_irradiance_uncertainty_uW_per_cm_squared, irradiance_645nm_red_wavelength_nm, irradiance_645nm_red_wavelength_uncertainty_nm, irradiance_645nm_red_irradiance_uW_per_cm_squared, irradiance_645nm_red_irradiance_uncertainty_uW_per_cm_squared, irradiance_680nm_near_infrared_wavelength_nm, irradiance_680nm_near_infrared_wavelength_uncertainty_nm, irradiance_680nm_near_infrared_irradiance_uW_per_cm_squared, irradiance_680nm_near_infrared_irradiance_uncertainty_uW_per_cm_squared, irradiance_705nm_red_wavelength_nm, irradiance_705nm_red_wavelength_uncertainty_nm, irradiance_705nm_red_irradiance_uW_per_cm_squared, irradiance_705nm_red_irradiance_uncertainty_uW_per_cm_squared, irradiance_730nm_near_infrared_wavelength_nm, irradiance_730nm_near_infrared_wavelength_uncertainty_nm, irradiance_730nm_near_infrared_irradiance_uW_per_cm_squared, irradiance_730nm_near_infrared_irradiance_uncertainty_uW_per_cm_squared, irradiance_760nm_near_infrared_wavelength_nm, irradiance_760nm_near_infrared_wavelength_uncertainty_nm, irradiance_760nm_near_infrared_irradiance_uW_per_cm_squared, irradiance_760nm_near_infrared_irradiance_uncertainty_uW_per_cm_squared, irradiance_810nm_near_infrared_wavelength_nm, irradiance_810nm_near_infrared_wavelength_uncertainty_nm, irradiance_810nm_near_infrared_irradiance_uW_per_cm_squared, irradiance_810nm_near_infrared_irradiance_uncertainty_uW_per_cm_squared, irradiance_860nm_near_infrared_wavelength_nm, irradiance_860nm_near_infrared_wavelength_uncertainty_nm, irradiance_860nm_near_infrared_irradiance_uW_per_cm_squared, irradiance_860nm_near_infrared_irradiance_uncertainty_uW_per_cm_squared, irradiance_900nm_near_infrared_wavelength_nm, irradiance_900nm_near_infrared_wavelength_uncertainty_nm, irradiance_900nm_near_infrared_irradiance_uW_per_cm_squared, irradiance_900nm_near_infrared_irradiance_uncertainty_uW_per_cm_squared, irradiance_940nm_near_infrared_wavelength_nm, irradiance_940nm_near_infrared_wavelength_uncertainty_nm, irradiance_940nm_near_infrared_irradiance_uW_per_cm_squared, irradiance_940nm_near_infrared_irradiance_uncertainty_uW_per_cm_squared, battery_voltage, battery_percent
STELLA-Q2, 2.3.0, 4147, 0, Tuesday, 20231121T183228Z, 18.5411, 20, 20, 410, 10, 0.0, 0.0, 435, 10, 0.0, 0.0, 460, 10, 0.0, 0.0, 485, 10, 0.0, 0.0, 510, 10, 0.0, 0.0, 535, 10, 0.0, 0.0, 560, 10, 0.0, 0.0, 585, 10, 0.0, 0.0, 610, 10, 0.0, 0.0, 645, 10, 0.0, 0.0, 680, 10, 1.05, 0.126, 705, 10, 0.0, 0.0, 730, 10, 0.0, 0.0, 760, 10, 0.0, 0.0, 810, 10, 0.0, 0.0, 860, 10, 0.0, 0.0, 900, 10, 0.0, 0.0, 940, 10, 0.0, 0.0, 4.12, 103
STELLA-Q2, 2.3.0, 4147, 0, Tuesday, 20231121T183229Z, 18.5414, 20, 20, 410, 10, 0.0, 0.0, 435, 10, 0.0, 0.0, 460, 10, 0.0, 0.0, 485, 10, 0.0, 0.0, 510, 10, 0.0, 0.0, 535, 10, 0.0, 0.0, 560, 10, 0.0, 0.0, 585, 10, 0.0, 0.0, 610, 10, 0.0, 0.0, 645, 10, 0.0, 0.0, 680, 10, 1.05, 0.126, 705, 10, 0.0, 0.0, 730, 10, 0.0, 0.0, 760, 10, 0.0, 0.0, 810, 10, 0.0, 0.0, 860, 10, 0.0, 0.0, 900, 10, 0.0, 0.0, 940, 10, 0.0, 0.0, 4.15, 103
STELLA-Q2, 2.3.0, 4147, 0, Tuesday, 20231121T183231Z, 18.5419, 20, 20, 410, 10, 0.0, 0.0, 435, 10, 0.0, 0.0, 460, 10, 0.0, 0.0, 485, 10, 0.0, 0.0, 510, 10, 0.0, 0.0, 535, 10, 0.0, 0.0, 560, 10, 0.0, 0.0, 585, 10, 0.0, 0.0, 610, 10, 0.0, 0.0, 645, 10, 0.0, 0.0, 680, 10, 1.05, 0.126, 705, 10, 0.0, 0.0, 730, 10, 0.0, 0.0, 760, 10, 0.0, 0.0, 810, 10, 0.0, 0.0, 860, 10, 0.0, 0.0, 900, 10, 0.0, 0.0, 940, 10, 0.0, 0.0, 4.14, 103
STELLA-Q2, 2.3.0, 4147, 0, Tuesday, 20231121T183233Z, 18.5425, 20, 20, 410, 10, 1.623, 0.195, 435, 10, 17.594, 2.111, 460, 10, 35.051, 4.206, 485, 10, 8.239, 0.989, 510, 10, 16.502, 1.98, 535, 10, 37.479, 4.497, 560, 10, 23.089, 2.771, 585, 10, 9.179, 1.102, 610, 10, 23.35, 2.802, 645, 10, 22.738, 2.729, 680, 10, 2.1, 0.252, 705, 10, 0.844, 0.101, 730, 10, 1.537, 0.184, 760, 10, 0.803, 0.096, 810, 10, 2.493, 0.299, 860, 10, 1.091, 0.131, 900, 10, 0.594, 0.071, 940, 10, 0.926, 0.111, 4.13, 103
STELLA-Q2, 2.3.0, 4147, 0, Tuesday, 20231121T183234Z, 18.5428, 20, 20, 410, 10, 1.623, 0.195, 435, 10, 17.594, 2.111, 460, 10, 34.152, 4.098, 485, 10, 9.063, 1.088, 510, 10, 16.502, 1.98, 535, 10, 38.818, 4.658, 560, 10, 24.188, 2.903, 585, 10, 9.689, 1.163, 610, 10, 46.701, 5.604, 645, 10, 25.799, 3.096, 680, 10, 3.15, 0.378, 705, 10, 0.844, 0.101, 730, 10, 1.537, 0.184, 760, 10, 1.606, 0.193, 810, 10, 3.324, 0.399, 860, 10, 2.182, 0.262, 900, 10, 0.594, 0.071, 940, 10, 0.926, 0.111, 4.12, 103
STELLA-Q2, 2.3.0, 4147, 0, Tuesday, 20231121T183236Z, 18.5433, 20, 20, 410, 10, 1.623, 0.195, 435, 10, 16.617, 1.994, 460, 10, 35.95, 4.314, 485, 10, 9.063, 1.088, 510, 10, 17.252, 2.07, 535, 10, 38.818, 4.658, 560, 10, 24.738, 2.969, 585, 10, 9.689, 1.163, 610, 10, 46.701, 5.604, 645, 10, 25.362, 3.043, 680, 10, 3.15, 0.378, 705, 10, 0.844, 0.101, 730, 10, 1.537, 0.184, 760, 10, 1.606, 0.193, 810, 10, 3.324, 0.399, 860, 10, 2.182, 0.262, 900, 10, 0.594, 0.071, 940, 10, 0.926, 0.111, 4.15, 103
STELLA-Q2, 2.3.0, 4147, 0, Tuesday, 20231121T183237Z, 18.5436, 20, 20, 410, 10, 0.812, 0.097, 435, 10, 0.977, 0.117, 460, 10, 1.797, 0.216, 485, 10, 1.648, 0.198, 510, 10, 2.25, 0.27, 535, 10, 2.677, 0.321, 560, 10, 2.199, 0.264, 585, 10, 2.04, 0.245, 610, 10, 4.448, 0.534, 645, 10, 1.749, 0.21, 680, 10, 3.15, 0.378, 705, 10, 1.266, 0.152, 730, 10, 3.075, 0.369, 760, 10, 3.211, 0.385, 810, 10, 3.324, 0.399, 860, 10, 2.182, 0.262, 900, 10, 0.594, 0.071, 940, 10, 0.0, 0.0, 4.16, 103
STELLA-Q2, 2.3.0, 4147, 0, Tuesday, 20231121T183239Z, 18.5442, 20, 20, 410, 10, 0.812, 0.097, 435, 10, 1.955, 0.235, 460, 10, 2.696, 0.324, 485, 10, 2.472, 0.297, 510, 10, 2.25, 0.27, 535, 10, 2.677, 0.321, 560, 10, 2.199, 0.264, 585, 10, 2.04, 0.245, 610, 10, 4.448, 0.534, 645, 10, 1.749, 0.21, 680, 10, 4.2, 0.504, 705, 10, 1.688, 0.203, 730, 10, 3.075, 0.369, 760, 10, 3.211, 0.385, 810, 10, 3.324, 0.399, 860, 10, 2.182, 0.262, 900, 10, 0.594, 0.071, 940, 10, 0.0, 0.0, 4.14, 103
STELLA-Q2, 2.3.0, 4147, 0, Tuesday, 20231121T183241Z, 18.5447, 20, 20, 410, 10, 0.812, 0.097, 435, 10, 1.955, 0.235, 460, 10, 2.696, 0.324, 485, 10, 2.472, 0.297, 510, 10, 2.25, 0.27, 535, 10, 2.677, 0.321, 560, 10, 2.199, 0.264, 585, 10, 2.04, 0.245, 610, 10, 4.448, 0.534, 645, 10, 1.749, 0.21, 680, 10, 4.2, 0.504, 705, 10, 1.688, 0.203, 730, 10, 3.075, 0.369, 760, 10, 3.211, 0.385, 810, 10, 3.324, 0.399, 860, 10, 2.182, 0.262, 900, 10, 0.594, 0.071, 940, 10, 0.0, 0.0, 4.16, 103
STELLA-Q2, 2.3.0, 4147, 0, Tuesday, 20231121T183242Z, 18.545, 20, 20, 410, 10, 0.812, 0.097, 435, 10, 1.955, 0.235, 460, 10, 2.696, 0.324, 485, 10, 2.472, 0.297, 510, 10, 2.25, 0.27, 535, 10, 2.677, 0.321, 560, 10, 2.199, 0.264, 585, 10, 2.04, 0.245, 610, 10, 4.448, 0.534, 645, 10, 1.749, 0.21, 680, 10, 4.2, 0.504, 705, 10, 1.688, 0.203, 730, 10, 3.075, 0.369, 760, 10, 3.211, 0.385, 810, 10, 3.324, 0.399, 860, 10, 2.182, 0.262, 900, 10, 0.594, 0.071, 940, 10, 0.0, 0.0, 4.14, 103
