UID, batch_number, weekday, timestamp, decimal_hour, surface_temperature_C, surface_temperature_error_C, air_temperature_C, air_temperature_error_C, relative_humidity_percent, relative_humidity_error_percent, barometric_pressure_hPa, barometric_pressure_error_hPa, altitude_uncalibrated_m, altitude_uncalibrated_error_m, V450_wavelength_nm, V450_wavelength_error_nm, V450_irradiance_uW_per_cm_squared, V450_irradiance_error_uW_per_cm_squared, B500_wavelength_nm, B500_wavelength_error_nm, B500_irradiance_uW_per_cm_squared, B500_irradiance_error_uW_per_cm_squared, G550_wavelength_nm, G550_wavelength_error_nm, G550_irradiance_uW_per_cm_squared, G550_irradiance_error_uW_per_cm_squared, Y570_wavelength_nm, Y570_wavelength_error_nm, Y570_irradiance_uW_per_cm_squared, Y570_irradiance_error_uW_per_cm_squared, O600_wavelength_nm, O600_wavelength_error_nm, O600_irradiance_uW_per_cm_squared, O600_irradiance_error_uW_per_cm_squared, R650_wavelength_nm, R650_wavelength_error_nm, R650_irradiance_uW_per_cm_squared, R650_irradiance_error_uW_per_cm_squared, nir610_wavelength_nm, nir610_wavelength_error_nm, nir610_irradiance_uW_per_cm_squared, nir610_irradiance_error_uW_per_cm_squared, nir680_wavelength_nm, nir680_wavelength_error_nm, nir680_irradiance_uW_per_cm_squared, nir680_irradiance_error_uW_per_cm_squared, nir730_wavelength_nm, nir730_wavelength_error_nm, nir730_irradiance_uW_per_cm_squared, nir730_irradiance_error_uW_per_cm_squared, nir760_wavelength_nm, nir760_wavelength_error_nm, nir760_irradiance_uW_per_cm_squared, nir760_irradiance_error_uW_per_cm_squared, nir810_wavelength_nm, nir810_wavelength_error_nm, nir810_irradiance_uW_per_cm_squared, nir810_irradiance_error_uW_per_cm_squared, nir860_wavelength_nm, nir860_wavelength_error_nm, nir860_irradiance_uW_per_cm_squared, nir860_irradiance_error_uW_per_cm_squared, LiDAR_range_m, LiDAR_range_error_m,battery_voltage
6047, 0, Friday, 20230728T174449Z, 17.7469, 35.1, 1.0, 21.9, 0.3, 69, 1.8, 1010, 1, 22.2, 100, 450, 5, 13, 1.56, 500, 5, 16, 1.92, 550, 5, 72, 8.64, 570, 5, 49, 5.88, 600, 5, 79, 9.48, 650, 5, 17, 2.04, 610, 5, 171, 20.52, 680, 5, 24, 2.88, 730, 5, 14, 1.68, 760, 5, 12, 1.44, 810, 5, 8, 0.96, 860, 5, 9, 1.08, 0.231, 0.001, 3.54
6047, 0, Friday, 20230728T174450Z, 17.7472, 23.5, 1.0, 21.8, 0.3, 69, 1.8, 1010, 1, 22.2, 100, 450, 5, 37, 4.44, 500, 5, 24, 2.88, 550, 5, 52, 6.24, 570, 5, 52, 6.24, 600, 5, 39, 4.68, 650, 5, 14, 1.68, 610, 5, 237, 28.44, 680, 5, 25, 3.0, 730, 5, 18, 2.16, 760, 5, 13, 1.56, 810, 5, 7, 0.84, 860, 5, 10, 1.2, 0.217, 0.001, 3.53
6047, 1, Friday, 20230728T175318Z, 17.8883, 27.6, 1.0, 22.6, 0.3, 69, 1.8, 1010, 1, 22.9, 100, 450, 5, 54, 6.48, 500, 5, 80, 9.6, 550, 5, 162, 19.44, 570, 5, 132, 15.84, 600, 5, 123, 14.76, 650, 5, 46, 5.52, 610, 5, 283, 33.96, 680, 5, 47, 5.64, 730, 5, 14, 1.68, 760, 5, 17, 2.04, 810, 5, 18, 2.16, 860, 5, 17, 2.04, 0.254, 0.001, 3.52
6047, 1, Friday, 20230728T175319Z, 17.8886, 28.0, 1.0, 22.6, 0.3, 69, 1.8, 1010, 1, 22.8, 100, 450, 5, 57, 6.84, 500, 5, 83, 9.96, 550, 5, 170, 20.4, 570, 5, 138, 16.56, 600, 5, 134, 16.08, 650, 5, 49, 5.88, 610, 5, 306, 36.72, 680, 5, 53, 6.36, 730, 5, 15, 1.8, 760, 5, 18, 2.16, 810, 5, 22, 2.64, 860, 5, 17, 2.04, 0.238, 0.001, 3.53
6047, 1, Friday, 20230728T175320Z, 17.8889, 27.7, 1.0, 22.6, 0.3, 68, 1.8, 1010, 1, 22.9, 100, 450, 5, 59, 7.08, 500, 5, 85, 10.2, 550, 5, 174, 20.88, 570, 5, 144, 17.28, 600, 5, 150, 18.0, 650, 5, 53, 6.36, 610, 5, 243, 29.16, 680, 5, 53, 6.36, 730, 5, 12, 1.44, 760, 5, 14, 1.68, 810, 5, 18, 2.16, 860, 5, 16, 1.92, 0.237, 0.001, 3.53
6047, 1, Friday, 20230728T175321Z, 17.8892, 28.4, 1.0, 22.6, 0.3, 67, 1.8, 1010, 1, 22.8, 100, 450, 5, 65, 7.8, 500, 5, 90, 10.8, 550, 5, 177, 21.24, 570, 5, 143, 17.16, 600, 5, 146, 17.52, 650, 5, 51, 6.12, 610, 5, 355, 42.6, 680, 5, 50, 6.0, 730, 5, 18, 2.16, 760, 5, 19, 2.28, 810, 5, 23, 2.76, 860, 5, 16, 1.92, 0.236, 0.001, 3.53
6047, 1, Friday, 20230728T175322Z, 17.8894, 28.1, 1.0, 22.6, 0.3, 68, 1.8, 1010, 1, 22.6, 100, 450, 5, 59, 7.08, 500, 5, 83, 9.96, 550, 5, 175, 21.0, 570, 5, 139, 16.68, 600, 5, 137, 16.44, 650, 5, 48, 5.76, 610, 5, 283, 33.96, 680, 5, 55, 6.6, 730, 5, 15, 1.8, 760, 5, 18, 2.16, 810, 5, 21, 2.52, 860, 5, 17, 2.04, 0.239, 0.001, 3.54
6047, 1, Friday, 20230728T175323Z, 17.8897, 25.7, 1.0, 22.6, 0.3, 68, 1.8, 1010, 1, 22.6, 100, 450, 5, 30, 3.6, 500, 5, 46, 5.52, 550, 5, 94, 11.28, 570, 5, 73, 8.76, 600, 5, 66, 7.92, 650, 5, 24, 2.88, 610, 5, 287, 34.44, 680, 5, 42, 5.04, 730, 5, 9, 1.08, 760, 5, 11, 1.32, 810, 5, 13, 1.56, 860, 5, 17, 2.04, 0.231, 0.001, 3.53
6047, 1, Friday, 20230728T175325Z, 17.8903, 25.0, 1.0, 22.7, 0.3, 67, 1.8, 1010, 1, 22.5, 100, 450, 5, 20, 2.4, 500, 5, 24, 2.88, 550, 5, 62, 7.44, 570, 5, 42, 5.04, 600, 5, 48, 5.76, 650, 5, 15, 1.8, 610, 5, 145, 17.4, 680, 5, 24, 2.88, 730, 5, 7, 0.84, 760, 5, 7, 0.84, 810, 5, 7, 0.84, 860, 5, 11, 1.32, 0.243, 0.001, 3.54
6047, 1, Friday, 20230728T175326Z, 17.8905, 25.2, 1.0, 22.6, 0.3, 66, 1.8, 1010, 1, 22.6, 100, 450, 5, 21, 2.52, 500, 5, 25, 3.0, 550, 5, 66, 7.92, 570, 5, 19, 2.28, 600, 5, 51, 6.12, 650, 5, 13, 1.56, 610, 5, 97, 11.64, 680, 5, 32, 3.84, 730, 5, 7, 0.84, 760, 5, 8, 0.96, 810, 5, 13, 1.56, 860, 5, 5, 0.6, 0.703, 0.001, 3.53
