UID, batch_number, sample_number, V450_irradiance_uW_per_cm_squared, B500_irradiance_uW_per_cm_squared, G550_irradiance_uW_per_cm_squared, Y570_irradiance_uW_per_cm_squared, O600_irradiance_uW_per_cm_squared, R650_irradiance_uW_per_cm_squared, nir610_irradiance_uW_per_cm_squared, nir680_irradiance_uW_per_cm_squared, nir730_irradiance_uW_per_cm_squared, nir760_irradiance_uW_per_cm_squared, nir810_irradiance_uW_per_cm_squared, nir860_irradiance_uW_per_cm_squared,  VIS_sensor_temperature_C,  NIR_sensor_temperature_C, surface_temperature_C, air_temperature_C, relative_humidity_percent, timestamp
5583,1, 20, 46680,60021,56047,53996,52004,46317,76138,69332,52052,56348,59424,64890,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 19, 46941,60113,56017,53996,51902,46651,76138,69332,52052,56348,59424,65128,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 18, 47053,60278,56713,53996,52028,46202,76138,69332,52052,56348,59424,65128,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 17, 46287,61332,56229,53996,51230,46289,76138,69332,52052,56348,59424,66181,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 16, 46274,61848,56720,53996,50657,46050,76138,69332,52052,56348,59424,66181,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 15, 46107,62779,56374,53996,50340,46075,76138,69332,52052,56348,59424,66209,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 14, 46002,61536,55936,53996,50106,46112,76138,69332,52052,56348,59424,66209,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 13, 46221,61686,56149,53996,50559,46235,76138,69332,52052,56348,59424,65889,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 12, 46671,61651,56665,53996,51008,46326,76138,69332,52052,56348,59424,65889,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 11, 46591,61881,56708,53996,51028,46345,76138,69332,52052,56348,59424,66391,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 10, 46704,62134,56855,53996,50805,46136,76138,69332,52052,56348,59424,66391,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 9, 46267,62697,56762,53996,50678,46272,76138,69332,52052,56348,59424,66448,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 8, 45471,62968,56761,53996,50096,45418,76138,69332,52052,56348,59424,66448,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 7, 45583,63295,56717,53996,50166,45705,76138,69332,52052,56348,59424,67316,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 6, 45529,63199,56585,53996,50132,45628,76138,69332,52052,56348,59424,67316,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 5, 45457,63102,56852,53996,50016,45413,76138,69332,52052,56348,59424,67266,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 4, 45509,63385,57119,53996,50027,45183,76138,69332,52052,56348,59424,67266,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 3, 45509,63064,56898,53996,49804,44853,76138,69332,52052,56348,59424,68001,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 2, 45073,63102,57038,53996,49956,45018,76138,69332,52052,56348,59424,68001,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, 1, 45689,63516,57216,53996,50230,45852,76138,69332,52052,56348,59424,67962,0, 0, 0, 0, 0, 20230901T143130Z
5583,1, average, 46080,62179,56618,53996,50638,45904,76138,69332,52052,56348,59424,66525, 0, 0, 17.6, 30.8, 35, 0.189
5583,1,standard_deviation,562.076,1087.61,363.271,0.0,682.021,486.623,0.0,0.0,0.0,0.0,0.0,912.168,
