STELLA-AQ, UID, batch, timestamp, decimal_hour, AQIp, CO2_sensor_stale_data, CO2_ppm, CO2_tolerance, CO2_sensor_air_temperature_C, CO2_sensor_air_temperature_tolerance, CO2_sensor_relative_humidity_%, CO2_sensor_relative_humidity_tolerance, WX_sensor_air_temperature_C, WX_sensor_air_temperature_tolerance, WX_sensor_relative_humidity_%, WX_sensor_relative_humidity_tolerance, WX_sensor_barometric_pressure_hPa, WX_sensor_barometric_pressure_tolerance, WX_sensor_altitude_m, WX_sensor_altitude_tolerance, 1um_concentration_ug_m^3, 2_5um_concentration_ug_m^3, 10um_concentration_ug_m^3, particle_concentration_tolerance_ug, 0_3um_count_p_100mL, 0_5um_count_p_100mL, 1um_count_p_100mL, 2_5um_count_p_100mL, 5um_count_p_100mL, 100um_count_p_100mL, battery_voltage
STELLA-AQ,2656,0, 20230901T163927Z,16.6575,4,0,413,70.65,23.5703,6,46.8414,1,21.0693,1,49.6538,3,1020.16,1,-57.4747,500,1,1,1,10,378,124,4,0,0,0,4.1679
STELLA-AQ,2656,0, 20230901T163928Z,16.6578,4,1,413,70.65,23.5703,6,46.8414,1,21.0795,1,49.3632,3,1020.15,1,-57.3902,500,1,1,1,10,378,124,4,0,0,0,4.16146
STELLA-AQ,2656,0, 20230901T163929Z,16.658,4,1,413,70.65,23.5703,6,46.8414,1,21.0898,1,49.1224,3,1020.15,1,-57.4959,500,1,1,1,10,378,124,4,0,0,0,4.16146
STELLA-AQ,2656,0, 20230901T163930Z,16.6583,4,1,413,70.65,23.5703,6,46.8414,1,21.0744,1,49.3912,3,1020.18,1,-57.3056,500,1,1,1,10,378,126,5,0,0,0,4.15501
STELLA-AQ,2656,0, 20230901T163931Z,16.6586,4,1,413,70.65,23.5703,6,46.8414,1,21.0744,1,49.2177,3,1020.15,1,-57.7073,500,1,1,1,10,378,126,5,0,0,0,4.16951
STELLA-AQ,2656,0, 20230901T163932Z,16.6589,4,0,394,69.7,23.3086,6,47.5281,1,21.0898,1,49.173,3,1020.18,1,-57.3479,500,1,1,1,10,354,118,5,0,0,0,4.13729
STELLA-AQ,2656,0, 20230901T163933Z,16.6592,8,1,394,69.7,23.3086,6,47.5281,1,21.0898,1,49.1283,3,1020.19,1,-57.5804,500,2,2,2,10,354,118,5,0,0,0,4.1679
STELLA-AQ,2656,0, 20230901T163934Z,16.6594,4,1,394,69.7,23.3086,6,47.5281,1,21.0846,1,49.3074,3,1020.19,1,-57.6016,500,1,1,1,10,312,104,2,0,0,0,4.1679
STELLA-AQ,2656,0, 20230901T163935Z,16.6597,4,1,394,69.7,23.3086,6,47.5281,1,21.0898,1,49.3297,3,1020.14,1,-57.4113,500,1,1,1,10,303,101,1,0,0,0,4.14373
STELLA-AQ,2656,0, 20230901T163936Z,16.66,0,0,389,69.45,23.0683,6,48.1003,1,21.0898,1,49.0555,3,1020.17,1,-57.4747,500,0,0,0,10,303,101,1,0,0,0,4.16951
