iso8601_utc, UID, batch, measurement_number, decimal_hour, gain, integration_time_ms, wavelength_nm, irradiance_uw.per.cm.sq_factory_cal, irradiance.uncertainty_uw.per.cm.sq_factory_cal, raw_counts, detector_chip_number, detector_chip_temperature_C, battery_voltage, battery_percentage
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 410, 4.61385, 0.553662, 6, 3, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 435, 13.4916, 1.61899, 14, 3, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 460, 12.1188, 1.45425, 14, 3, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 485, 8.95254, 1.0743, 11, 3, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 510, 10.2991, 1.23589, 14, 3, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 535, 19.1451, 2.29741, 30, 3, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 560, 13.5605, 1.62726, 23, 2, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 585, 13.7004, 1.64404, 24, 2, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 610, 36.8049, 4.41659, 31, 1, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 645, 33.2664, 3.99197, 68, 2, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 680, 24.4308, 2.9317, 24, 1, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 705, 16.651, 1.99811, 37, 2, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 730, 19.0556, 2.28667, 23, 1, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 760, 28.7413, 3.44895, 35, 1, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 810, 29.4809, 3.5377, 36, 1, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 860, 38.6977, 4.64372, 36, 1, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 900, 7.8844, 0.946127, 12, 2, 23, 4.1225, 93.4
20250612T132529Z, 7890, 0, 0, 13.4247, 16, 168, 940, 3.92016, 0.470419, 4, 2, 23, 4.1225, 93.4
20250612T132530Z, 7890, 0, 1, 13.425, 16, 168, 410, 4.61385, 0.553662, 6, 3, 23, 4.12125, 93.4
20250612T132530Z, 7890, 0, 1, 13.425, 16, 168, 435, 13.4916, 1.61899, 14, 3, 23, 4.12125, 93.4
20250612T132530Z, 7890, 0, 1, 13.425, 16, 168, 460, 12.1188, 1.45425, 14, 3, 23, 4.12125, 93.4
20250612T132530Z, 7890, 0, 1, 13.425, 16, 168, 485, 8.95254, 1.0743, 11, 3, 23, 4.12125, 93.4
20250612T132530Z, 7890, 0, 1, 13.425, 16, 168, 510, 10.2991, 1.23589, 14, 3, 23, 4.12125, 93.4
20250612T132530Z, 7890, 0, 1, 13.425, 16, 168, 535, 19.1451, 2.29741, 29, 3, 23, 4.12125, 93.4
20250612T132530Z, 7890, 0, 1, 13.425, 16, 168, 560, 13.5605, 1.62726, 23, 2, 23, 4.12125, 93.4
20250612T132530Z, 7890, 0, 1, 13.425, 16, 168, 585, 13.7004, 1.64404, 24, 2, 23, 4.12125, 93.4
